wafer_id,lot_id,tool_id,process_date,exposure_dose,focus_offset,overlay_error,cd_mean,cd_uniformity,resist_thickness,particle_count,contamination_score,die_size,defect_type,failure_pattern,defect_density,yield_percent,pass_fail,yield_loss,risk_status
W0001,LOT-03,LITHO-04,2026-06-15,21.17274247312839,-0.22351599519811066,1.9068058792524734,44.45833865884273,1.534300669934784,105.0982010742522,4,1.2919251816124389,600,Pattern Collapse,None,1.465,86.29,pass,13.71,normal
W0002,LOT-24,LITHO-04,2026-06-28,20.864831174992904,-0.03673234519899281,3.760812288986684,45.08642117030046,2.318245791710258,99.33328560418623,3,2.565459985789779,515,Etch Residue,None,1.699,82.42,fail,17.58,normal
W0003,LOT-20,LITHO-02,2026-06-22,21.52362950922694,0.019736595823321552,1.1024487084986512,43.44559057864076,1.367686247893983,104.91063072035969,7,1.5804753826108127,600,Pattern Collapse,None,1.586,90.37,pass,9.63,normal
W0004,LOT-14,LITHO-02,2026-04-11,19.761522490159525,0.440123426110605,3.082656126494089,47.04731010975317,1.6134312278120164,99.10443220945744,7,1.1614856528782305,600,Misalignment,Edge-Loc,2.168,82.42,fail,17.58,normal
W0005,LOT-13,LITHO-03,2026-02-06,20.54531222419571,-0.24791681799366613,3.1575352155046796,46.3434008169635,1.2204179892874563,106.1445077571349,8,3.284576138275955,515,Particle,None,2.219,81.71,fail,18.29,requires review
W0006,LOT-26,LITHO-03,2026-06-01,20.569671016321205,0.264962621968224,1.6034888358240846,45.356299044883336,1.3769663426998475,110.40043533409431,7,2.3579891805682225,560,Misalignment,None,1.989,81.22,fail,18.78,requires review
W0007,LOT-03,LITHO-02,2026-05-25,19.723804193187622,0.026971634517710407,3.7604915273891812,43.38383694146452,1.5871268686388302,101.53608122570871,5,0.688101895448925,710,Misalignment,None,1.638,83.82,fail,16.18,normal
W0008,LOT-21,LITHO-01,2026-06-28,20.469998855597158,0.07401094524287337,2.896843198061723,45.25280025326954,1.7962064218077054,93.66833473493185,6,1.8817792224067684,515,Particle,None,1.821,85.63,pass,14.37,normal
W0009,LOT-07,LITHO-03,2026-04-28,20.49666413628474,0.021302624409876812,2.879797304776038,43.654282744779294,1.611683191908251,99.91732285366967,11,2.838680348862133,600,Scratch,None,2.465,82.32,fail,17.68,normal
W0010,LOT-03,LITHO-01,2026-01-26,20.889392440014642,0.08005082727514194,2.219615530918114,46.754826316168035,1.9406901972671575,106.68112551029935,4,0.7312292044690225,740,Etch Residue,None,1.56,83.0,fail,17.0,normal
W0011,LOT-16,LITHO-04,2026-04-01,21.612131240413145,-0.02766331878516319,2.047941689246927,45.971033678223804,1.4667621412925649,104.10169179069592,10,1.8982795317558354,710,Etch Residue,Edge-Loc,2.325,78.07,fail,21.93,requires review
W0012,LOT-30,LITHO-01,2026-03-22,20.865216641845112,0.2617290326623425,2.0534138210722745,45.114526846185285,1.3837410145563482,102.94587167496512,6,2.211269872482102,530,Misalignment,Center,2.156,81.7,fail,18.3,requires review
W0013,LOT-23,LITHO-01,2026-06-01,20.433052453850866,-0.08216480596045003,2.473371417423662,42.07634920410322,2.4463947875477854,105.83293975262839,5,2.1054192483446483,560,Etch Residue,None,1.673,85.52,pass,14.48,normal
W0014,LOT-23,LITHO-04,2026-03-12,20.96867500233256,0.20380222299226458,3.1808303925237276,43.81990082560916,1.6379831773047107,103.840923069144,8,0.9442398923555515,740,Particle,Center,2.402,80.63,fail,19.37,requires review
W0015,LOT-22,LITHO-01,2026-03-01,21.57704549179274,-0.11598608163834412,2.326919952502994,45.825313357919846,1.2481814589075084,106.62735571231431,7,1.3027681478369075,560,Pattern Collapse,Center,2.32,79.17,fail,20.83,requires review
W0016,LOT-24,LITHO-01,2026-01-15,20.463222651136803,-0.010845332352231651,1.5619894638038971,46.45546043006779,1.257007683213176,105.49380997125854,5,3.9298193019262655,515,Misalignment,Loc,2.194,75.86,fail,24.14,requires review
W0017,LOT-16,LITHO-03,2026-05-31,20.499183813843203,-0.19295325941223945,2.777098943669486,46.331003773790556,1.170062029914031,107.78246172040045,4,2.1896696205442767,515,Particle,Random,2.263,74.99,fail,25.01,requires review
W0018,LOT-04,LITHO-04,2026-05-16,21.307201927600822,0.08190426966255358,2.8448055224763547,43.089584397310254,1.8277992745498757,103.36342511884376,12,0.557474313887187,710,Particle,None,2.347,83.12,fail,16.88,normal
W0019,LOT-26,LITHO-01,2026-01-08,20.87815513634806,0.2601226722467761,2.6582616699134505,45.361862768175484,1.3724679474873653,105.43998572567703,7,1.8077949646635334,530,Etch Residue,Near-full,2.973,54.97,fail,45.03,requires review
W0020,LOT-14,LITHO-02,2026-03-20,21.356116579890212,-0.013924112367753733,2.721849234567488,46.21861825977952,1.5445768664797699,100.83291712227401,7,2.326022777363602,515,Pattern Collapse,Edge-Ring,2.046,78.32,fail,21.68,requires review
W0021,LOT-16,LITHO-03,2026-03-28,20.992494264512587,-0.03543942576670372,2.0103503088895347,43.009997321301306,1.477771963946606,99.71444891607578,8,0.9645368379394592,530,Scratch,Edge-Loc,1.924,85.15,pass,14.85,normal
W0022,LOT-12,LITHO-04,2026-03-26,21.385915006449263,-0.2006310533522268,1.5497075830085945,44.99051458155212,1.7560223427793271,108.4857170335921,8,4.170029111426059,710,Etch Residue,None,2.147,79.99,fail,20.01,requires review
W0023,LOT-06,LITHO-02,2026-06-15,20.430707037277646,-0.04127267763941546,1.5922645985514543,45.32861087797015,1.203639567490593,102.82157777002621,9,1.2438494712250792,560,Pattern Collapse,None,1.624,89.72,pass,10.28,normal
W0024,LOT-28,LITHO-01,2026-01-28,20.993353442066454,-0.28670296674987494,1.0551757260794996,44.63908249818392,1.1235496998499446,105.05854615027704,5,1.5568380376007738,710,Etch Residue,None,1.109,88.97,pass,11.03,normal
W0025,LOT-24,LITHO-01,2026-02-25,20.884120492100262,-0.1643180376093889,2.3658640280821652,42.77740577351856,1.578504057513558,102.47021205476328,10,2.330832687384088,600,Misalignment,Scratch,2.33,77.48,fail,22.52,requires review
W0026,LOT-20,LITHO-01,2026-02-02,20.331259991742726,0.040821488299644375,2.1415858517413846,44.60916226791153,1.710335749644964,99.77124052650413,7,1.924300102584125,740,Etch Residue,Edge-Loc,2.016,81.71,fail,18.29,requires review
W0027,LOT-13,LITHO-01,2026-02-13,20.14008712867222,0.2374223755934513,1.8920086068292041,44.607233483693975,1.6163863095841742,102.04173499181313,6,0.3424847625461783,740,Particle,None,1.449,87.38,pass,12.62,normal
W0028,LOT-25,LITHO-03,2026-06-13,21.377161969401065,0.5056579550213105,0.1310668229584513,44.822313114542695,1.2166911948159354,107.45677726751731,6,3.6892581274355467,515,Particle,Center,1.963,79.89,fail,20.11,requires review
W0029,LOT-17,LITHO-01,2026-06-19,20.806976189780112,-0.10558531531276212,1.326877771214082,44.323834289489916,1.7371196947319878,104.10991228226182,6,2.65256493947118,600,Misalignment,None,1.738,80.95,fail,19.05,requires review
W0030,LOT-14,LITHO-02,2026-01-09,20.437745845093968,0.2583540281961792,2.984588455982217,44.46838541611024,1.239648675516528,95.49640199302425,8,0.22687378704352767,515,Particle,None,1.792,87.62,pass,12.38,normal
W0031,LOT-14,LITHO-03,2026-04-24,20.947101584692167,0.043875446472296624,1.7347617999558085,44.95235246118363,1.317461474324766,101.18207106501062,5,1.6693877784437992,740,Pattern Collapse,Edge-Loc,1.918,75.61,fail,24.39,requires review
W0032,LOT-07,LITHO-03,2026-02-11,21.620410371542118,-0.027224576414347654,2.452414174359789,45.53094552596365,1.1696162663472993,108.7727164122779,8,2.2904644394531912,515,Pattern Collapse,Center,2.339,76.27,fail,23.73,requires review
W0033,LOT-03,LITHO-01,2026-02-04,19.74559418504544,0.0778670013107074,1.226520199017321,44.634687884572,1.9554054220282109,101.18757192497017,3,2.1683475514946235,600,Misalignment,Loc,1.638,84.76,fail,15.24,normal
W0034,LOT-17,LITHO-04,2026-02-22,20.17684872055317,0.011144967062392652,3.207093837651462,44.5084212859584,1.7216975393595721,95.15818097141012,8,1.2229299769216215,710,Etch Residue,Edge-Loc,2.272,80.62,fail,19.38,requires review
W0035,LOT-27,LITHO-03,2026-02-04,20.492412456957602,0.019871230610199336,2.0991806379617266,45.11082484590535,1.7117476814876056,109.19358576460567,5,2.6824222665138664,515,Misalignment,Edge-Loc,1.743,78.35,fail,21.65,requires review
W0036,LOT-02,LITHO-03,2026-03-30,21.80364837669618,-0.07349996930880046,2.403028277538475,42.69490088892578,1.9365239973998576,104.59309153728861,5,3.486920923362732,710,Particle,Loc,2.176,75.8,fail,24.2,requires review
W0037,LOT-26,LITHO-01,2026-06-29,21.155422840605613,-0.2516597387637931,3.8280458543171796,45.57244215267175,2.484427236883553,101.73395113651137,6,0.4208868478560949,515,Misalignment,None,1.657,85.31,pass,14.69,normal
W0038,LOT-25,LITHO-01,2026-04-16,21.422024482253676,-0.2778525364539747,3.2615080704125825,44.99932428345245,0.9017708636314457,100.58861260288813,8,0.3838725858729655,530,Particle,Edge-Loc,2.159,80.84,fail,19.16,requires review
W0039,LOT-09,LITHO-04,2026-05-11,20.372911494480572,0.11758407899062086,1.9854040650990599,45.04763223191708,1.241568196693012,106.11293733320859,2,2.211675881241837,560,Misalignment,Edge-Ring,1.432,79.54,fail,20.46,requires review
W0040,LOT-19,LITHO-02,2026-03-30,20.384255268601212,-0.049806016215428406,1.7847458705907489,46.15288116911336,1.2843387205389167,99.94046307914047,7,2.8282127228178564,530,Particle,None,1.996,83.95,fail,16.05,normal
W0041,LOT-05,LITHO-02,2026-01-03,21.24629754419749,-0.10729600193811,1.972118491936328,42.6566213639421,1.2022131321660576,106.36337441316076,8,1.092089867834083,560,Particle,None,1.545,88.36,pass,11.64,normal
W0042,LOT-23,LITHO-02,2026-01-16,21.032050882014495,0.001531012810167642,2.556928773933575,42.63139935616924,1.1228458633387006,104.06034208575217,6,0.24212629305628594,740,Particle,None,1.508,87.63,pass,12.37,normal
W0043,LOT-22,LITHO-03,2026-02-18,21.30180635037527,0.14308780552481296,2.1263431060243905,45.32856461438822,1.395121427580622,102.92979131685193,5,1.6890971871377836,530,Scratch,None,1.72,87.41,pass,12.59,normal
W0044,LOT-11,LITHO-04,2026-02-13,20.896780954989353,0.032465509744751674,1.92332909849757,44.99145977384578,1.0741886996487082,102.55295626027527,11,2.190271186850728,560,Particle,Center,2.699,75.62,fail,24.38,requires review
W0045,LOT-03,LITHO-02,2026-06-01,21.152979049550044,-0.11808988859537412,3.2270268754963296,45.20421233183032,1.6172648286380946,101.33512146048612,4,1.3754665915960738,740,Misalignment,None,1.549,85.73,pass,14.27,normal
W0046,LOT-30,LITHO-04,2026-06-01,21.08696549669781,0.22073273201681093,2.1200530757555143,44.44544750979306,1.518094412500015,105.97343245679521,3,3.23789966577068,710,Misalignment,Edge-Loc,1.948,75.36,fail,24.64,requires review
